"PAIntentionsraw","PABehavioursraw","PAHabitraw","PAIdentityraw"
"6 days","5 days","Strongly Agree","Neither Agree nor Disagree"
"6 days","7 days","Disagree","Strongly Disagree"
"2 days","7 days","Neither Agree nor Disagree","Strongly Agree"
"5 days","1 day","Strongly Disagree","Agree"
"2 days","6 days","Strongly Agree","Neither Agree nor Disagree"
"1 day","2 days","Neither Agree nor Disagree","Strongly Agree"
"1 day","2 days","Disagree","Strongly Disagree"
"5 days","2 days","Strongly Disagree","Strongly Agree"
"2 days","5 days","Agree","Strongly Disagree"
"4 days","0 days","Agree","Strongly Disagree"
"3 days","7 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"5 days","0 days","Strongly Disagree","Strongly Agree"
"5 days","7 days","Disagree","Strongly Agree"
"0 days","2 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"1 day","3 days","Strongly Disagree","Strongly Agree"
"2 days","7 days","Strongly Disagree","Agree"
"7 days","3 days","Disagree","Agree"
"4 days","4 days","Disagree","Agree"
"2 days","1 day","Agree","Neither Agree nor Disagree"
"2 days","1 day","Neither Agree nor Disagree","Agree"
"0 days","7 days","Disagree","Strongly Agree"
"3 days","3 days","Disagree","Agree"
"0 days","6 days","Strongly Agree","Disagree"
"0 days","1 day","Strongly Disagree","Agree"
"4 days","0 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2 days","3 days","Disagree","Strongly Disagree"
"7 days","2 days","Disagree","Neither Agree nor Disagree"
"1 day","0 days","Agree","Strongly Agree"
"6 days","4 days","Agree","Strongly Agree"
"1 day","2 days","Agree","Disagree"
"0 days","3 days","Strongly Agree","Neither Agree nor Disagree"
"5 days","7 days","Strongly Agree","Neither Agree nor Disagree"
"2 days","1 day","Agree","Strongly Disagree"
"3 days","4 days","Agree","Disagree"
"5 days","4 days","Disagree","Agree"
"0 days","1 day","Strongly Agree","Neither Agree nor Disagree"
"2 days","5 days","Disagree","Agree"
"6 days","1 day","Disagree","Disagree"
"4 days","1 day","Agree","Agree"
